company_name,city,email,website,email_verified,demo_url,clicked_at,first_login_at,last_login_at,login_count
"MotoPort Hengelo",Hengelo,info@motoporthengelo.nl,https://www.motoporthengelo.nl,True,https://app.garagebook.nl/demo/garage/b224e5f891db26e01b78691d162692eba3ea82f4,"2026-06-17 21:52:06","2026-06-17 21:52:07","2026-06-17 21:52:07",1
"Gebben Motoren",Rogat,info@gebbenmotoren.nl,https://www.gebbenmotoren.nl,True,https://app.garagebook.nl/demo/garage/5e6fc2d7929d0e022f98e217b7aaba3fde646e02,,,,0
"MotoPort Hippolytushoef",Hippolytushoef,info@motoporthippolytushoef.nl,https://www.motoporthippolytushoef.nl,True,https://app.garagebook.nl/demo/garage/a148493cf2c3091ff1382831e43f29bc69a38532,,,,0
"MotoPort Rockanje",Rockanje,info@motoportrockanje.nl,https://www.motoportrockanje.nl,True,https://app.garagebook.nl/demo/garage/0f5f1f4dd844d88f8c4e71e23dfdd30417c9fb8a,,,,0
"MotoPort Zelhem",Zelhem,info@motoportzelhem.nl,https://www.motoportzelhem.nl,True,https://app.garagebook.nl/demo/garage/b79cf7312b48f1e0047dfe3d8d588c8df25af12e,,,,0
"MotoPort Veldhoven",Veldhoven,info@motoportveldhoven.nl,https://www.motoportveldhoven.nl,True,https://app.garagebook.nl/demo/garage/8758c1d510fcdeba5028324861b9fe26fbf9eca7,,,,0
"MotoPort Assen",Assen,info@motoportassen.nl,https://www.motoportassen.nl,True,https://app.garagebook.nl/demo/garage/8be9f65f6aeff723a98edf092b8baa57026bd2ef,,,,0
"MotoPort Goes",Goes,info@motoportgoes.nl,https://www.motoportgoes.nl,True,https://app.garagebook.nl/demo/garage/81acd794b3066993949f4d06f1481153ac667b24,,,,0
"MotoPort Breda",Breda,info@motoportbreda.nl,https://www.motoportbreda.nl,True,https://app.garagebook.nl/demo/garage/11e245238c49fa1d0d409b000b84d363c60461cc,,,,0
"MotoPort Echt",Echt,info@motoport-echt.nl,https://www.motoportecht.nl,True,https://app.garagebook.nl/demo/garage/ca798a11c091ade6d5b6bc39e0d742da04b1057c,,,,0
Motorado,Leeuwarden,info@motorado.nl,https://www.motorado.nl,True,https://app.garagebook.nl/demo/garage/5106d36dfb4a691468732d338c4f7dc691c70f18,,,,0
"Molenaar Motors BMW",IJsselstein,info@molenaarmotors.nl,https://www.molenaarmotors.nl,True,https://app.garagebook.nl/demo/garage/bdbfafa20bcbd1d28b399e3c297d90d77a15fe63,,,,0
"MotorCity Amsterdam",Amsterdam,verkoop@motorcityamsterdam.nl,https://motorcityamsterdam.nl,True,https://app.garagebook.nl/demo/garage/910fcb6eb3bf4a59b8d9b61556229adc801d93ab,,,,0
"Domburg Motoren",Nieuwkoop,info@domburgmotoren.nl,https://www.domburgmotoren.nl,True,https://app.garagebook.nl/demo/garage/25313c1d794c9583f563809dfe5ce0531195bcdb,,,,0
"MotoPort Leeuwarden",Leeuwarden,info@motoportleeuwarden.nl,https://www.motoportleeuwarden.nl,True,https://app.garagebook.nl/demo/garage/ea70d45b1c9735b2d86bdfaafe08eaff8355401a,,,,0
"Straver Motoren",Lopik,info@stravermotoren.nl,https://www.stravermotoren.nl,True,https://app.garagebook.nl/demo/garage/8322505275db74cff8c78a51f535e0bd3abb3f1f,,,,0
"Brons Motoren",Groningen,info@bronsmotoren.nl,https://www.bronsmotoren.nl,True,https://app.garagebook.nl/demo/garage/14e74884d0f651526407722cf1f52b91e4225d8c,,,,0
"Motorhuis Brabant",Tilburg,info@motorhuisbrabant.nl,https://www.motorhuisbrabant.nl,True,https://app.garagebook.nl/demo/garage/55eb7a68704fbe5c5d83157495f1c7ee59d9de39,,,,0
"Brabant Motors Grave",Grave,info@brabantmotors.nl,https://www.brabantmotors.nl,True,https://app.garagebook.nl/demo/garage/2bcb4a80e55a519edc6efcf4e4fdc68afdf26e16,,,,0
"MotoPort Leek",Leek,info@motoportleek.nl,https://www.motoport.nl/leek,True,https://app.garagebook.nl/demo/garage/1c9fbf0e816e37b80bd6d7de506fdfd23399c2a5,,,,0
"Van de Kuinder Motoren",Hilversum,info@vandekuinder.nl,https://vandekuinder.nl,True,https://app.garagebook.nl/demo/garage/32f7474f120c5a4827a1ea9433374fc046669ee8,,,,0
"Doornekamp Motorsport",Hoevelaken,info@doornekampmotorsport.nl,https://doornekampmotorsport.nl,True,https://app.garagebook.nl/demo/garage/0758d712de8054d88ba3b7db7948fc386804a515,,,,0
